ID du client,Âge,Revenu annuel,Score de dépense,Genre,Pays,Région,Statut marital,Nombre d'enfants,Niveau d'éducation,Statut d'emploi,Nombre de transactions,Valeur moyenne des transactions,Score de fidélité
1,56,125186,58,Homme,Italie,Ouest,Marié,4,Master,Chômeur,62,438.4643317966724,10
2,69,54674,67,Homme,France,Nord,Marié,2,Bac,Indépendant,23,289.8356495929122,15
3,46,55854,56,Homme,Royaume-Uni,Centre,Veuf,2,Doctorat,Employé,46,14.409342068795329,42
4,32,66271,40,Homme,Allemagne,Sud,Marié,2,Aucun,Indépendant,56,136.32732827143542,93
5,60,93688,98,Femme,Italie,Sud,Célibataire,1,Master,Employé,7,209.34309722524785,57
6,25,58518,40,Femme,Italie,Ouest,Veuf,3,Aucun,Employé,89,235.43141720630527,87
7,38,131076,91,Femme,Italie,Nord,Divorcé,4,Master,Retraité,61,155.8625916955623,17
8,56,30267,77,Homme,Italie,Nord,Divorcé,2,Doctorat,Chômeur,3,26.144455440309688,60
9,36,110825,33,Femme,Italie,Est,Marié,3,Master,Chômeur,38,299.16242890400565,9
10,40,21062,6,Homme,Royaume-Uni,Nord,Veuf,4,Master,Chômeur,84,266.8357871704304,36
11,28,136664,88,Homme,Allemagne,Ouest,Veuf,4,Licence,Employé,34,148.6703113602481,73
12,28,70448,19,Femme,Italie,Est,Divorcé,2,Doctorat,Chômeur,44,28.608224109107198,80
13,41,115462,80,Homme,Espagne,Est,Veuf,2,Bac,Retraité,30,497.3511517387507,36
14,53,26229,40,Femme,Espagne,Sud,Veuf,1,Bac,Employé,17,246.17323154493891,48
15,57,76793,92,Femme,Allemagne,Sud,Veuf,3,Doctorat,Employé,59,380.44207846929777,51
16,41,134813,97,Femme,France,Nord,Marié,3,Bac,Employé,10,231.6338771751544,97
17,20,67915,59,Homme,France,Est,Veuf,2,Doctorat,Employé,99,31.153442522841306,95
18,39,24632,59,Femme,France,Sud,Célibataire,4,Bac,Retraité,84,161.70436509189503,70
19,19,124592,48,Homme,Espagne,Ouest,Marié,2,Licence,Chômeur,18,166.8539690928916,74
20,41,23596,41,Femme,France,Sud,Veuf,4,Bac,Retraité,45,420.7929229840178,80
21,61,129779,13,Femme,Royaume-Uni,Sud,Veuf,4,Master,Chômeur,91,330.57268921993847,68
22,47,26168,45,Femme,Italie,Est,Célibataire,2,Doctorat,Retraité,59,144.9606527833417,22
23,55,128099,89,Homme,Espagne,Est,Marié,0,Aucun,Indépendant,62,484.1925777829521,77
24,19,27561,53,Homme,Allemagne,Centre,Divorcé,3,Aucun,Indépendant,59,167.55549787495698,80
25,38,93794,42,Homme,Allemagne,Ouest,Divorcé,4,Doctorat,Indépendant,49,499.13467265607295,93
26,50,102152,100,Femme,Italie,Est,Marié,4,Licence,Indépendant,63,498.12020965342896,6
27,29,145036,63,Femme,Espagne,Nord,Veuf,0,Bac,Employé,87,103.69315369590349,26
28,39,144049,27,Homme,France,Ouest,Veuf,1,Licence,Employé,32,163.24314693231608,75
29,61,46734,38,Homme,France,Ouest,Divorcé,0,Aucun,Retraité,10,248.16165725748056,88
30,42,26371,60,Homme,Royaume-Uni,Est,Divorcé,0,Doctorat,Retraité,11,335.40932886246657,93
31,66,138894,7,Homme,Royaume-Uni,Ouest,Divorcé,4,Doctorat,Indépendant,70,268.7432500118617,3
32,44,46069,5,Homme,France,Est,Célibataire,3,Licence,Chômeur,62,485.02631987480584,52
33,59,99905,45,Homme,Allemagne,Sud,Divorcé,0,Licence,Indépendant,47,364.7546904754888,74
34,45,32910,58,Femme,Allemagne,Centre,Célibataire,1,Bac,Retraité,34,113.90197619765746,60
35,33,93479,31,Homme,Royaume-Uni,Sud,Marié,2,Master,Indépendant,17,61.497799604682776,63
36,32,97735,23,Femme,Italie,Est,Veuf,0,Master,Retraité,54,347.3166324475848,65
37,64,101264,42,Femme,France,Est,Divorcé,0,Bac,Indépendant,76,87.64169568857386,52
38,68,43275,10,Homme,Royaume-Uni,Sud,Veuf,1,Master,Chômeur,85,395.9616517645195,90
39,61,92274,32,Homme,Royaume-Uni,Nord,Veuf,3,Aucun,Indépendant,40,162.40796695756512,76
40,69,101449,53,Femme,France,Nord,Divorcé,0,Master,Chômeur,19,170.17769889724718,14
41,20,120776,30,Homme,France,Nord,Divorcé,0,Bac,Chômeur,67,15.291212270860864,89
42,54,80004,39,Homme,Allemagne,Est,Marié,3,Master,Retraité,82,353.4955208765699,72
43,68,82981,31,Femme,Italie,Ouest,Célibataire,1,Doctorat,Chômeur,53,65.50217900169604,68
44,24,104659,82,Femme,Italie,Est,Célibataire,0,Licence,Employé,64,388.7114829571239,28
45,38,74553,100,Femme,France,Ouest,Veuf,3,Aucun,Employé,83,251.01523273943133,71
46,26,68447,2,Homme,Espagne,Sud,Divorcé,0,Doctorat,Employé,47,394.29710932773884,10
47,56,54529,78,Femme,Royaume-Uni,Centre,Marié,2,Doctorat,Retraité,6,296.12400420689323,57
48,35,146394,77,Homme,Royaume-Uni,Ouest,Marié,4,Bac,Employé,16,50.39230328930547,66
49,21,95703,93,Femme,France,Nord,Marié,2,Licence,Retraité,72,385.1696449855397,90
50,42,96090,12,Femme,Espagne,Est,Marié,0,Licence,Retraité,18,44.201747598427374,50
51,31,37260,39,Femme,Allemagne,Sud,Marié,1,Aucun,Employé,52,244.5638430789728,14
52,67,132581,66,Homme,France,Nord,Célibataire,4,Bac,Chômeur,48,94.45111493103201,16
53,26,23812,96,Homme,France,Sud,Célibataire,2,Aucun,Indépendant,43,378.64423720916363,54
54,43,48024,13,Femme,Royaume-Uni,Centre,Célibataire,3,Master,Retraité,39,456.679701625002,43
55,19,78656,46,Femme,France,Est,Divorcé,1,Doctorat,Employé,49,281.52182004555436,42
56,37,136148,27,Femme,France,Est,Veuf,2,Aucun,Retraité,12,268.30217420659847,81
57,45,47285,17,Homme,France,Centre,Marié,3,Doctorat,Chômeur,10,384.3419661995528,22
58,64,112436,95,Femme,Royaume-Uni,Est,Divorcé,0,Bac,Chômeur,71,12.488618358106333,68
59,24,136421,98,Homme,Allemagne,Ouest,Marié,3,Master,Employé,55,459.70173489122874,19
60,61,21605,60,Femme,Allemagne,Sud,Célibataire,2,Bac,Retraité,1,106.74992037465454,66
61,25,91158,64,Femme,France,Nord,Divorcé,2,Master,Indépendant,49,492.21825307485625,39
62,64,92303,88,Femme,Royaume-Uni,Centre,Célibataire,0,Master,Indépendant,36,370.76443450062646,73
